key scientificName decimalLatitude decimalLongitude issues
2910461863 Polyommatus_coridon_(Poda_1761) 51.74214 -0.806531 fpwktinv
2910467950 Polyommatus_coridon_(Poda_1761) 51.360206 0.576829 fpwktinv
2910468215 Polyommatus_coridon_(Poda_1761) 50.974896 -1.937279 fpwktinv
2910470224 Polyommatus_coridon_(Poda_1761) 51.406282 -2.238604 fpwktinv
2910477549 Polyommatus_coridon_(Poda_1761) 50.864679 -0.37434 fpwktinv
2910497044 Polyommatus_coridon_(Poda_1761) 51.233407 -0.375704 fpwktinv
2910500183 Polyommatus_coridon_(Poda_1761) 51.233407 -0.375704 fpwktinv
2910502098 Polyommatus_coridon_(Poda_1761) 51.487267 -1.79256 fpwktinv
2910505886 Polyommatus_coridon_(Poda_1761) 51.225007 -0.418963 fpwktinv
2910507797 Polyommatus_coridon_(Poda_1761) 51.062535 -1.266469 fpwktinv
2910509497 Polyommatus_coridon_(Poda_1761) 50.974896 -1.937279 fpwktinv
2910511911 Polyommatus_coridon_(Poda_1761) 51.311562 -0.186415 fpwktinv
2910521328 Polyommatus_coridon_(Poda_1761) 51.260322 -2.73944 fpwktinv
2910529774 Polyommatus_coridon_(Poda_1761) 51.721006 -2.225783 fpwktinv
2910529787 Polyommatus_coridon_(Poda_1761) 50.864679 -0.37434 fpwktinv
2910539872 Polyommatus_coridon_(Poda_1761) 51.648798 -2.34105 fpwktinv
2910551973 Polyommatus_coridon_(Poda_1761) 51.302575 -0.18677 fpwktinv
2910556763 Polyommatus_coridon_(Poda_1761) 50.980305 -1.08258 fpwktinv
2910580705 Polyommatus_coridon_(Poda_1761) 51.226853 -0.562118 fpwktinv
2910584267 Polyommatus_coridon_(Poda_1761) 51.259562 -0.317453 fpwktinv
2910592417 Polyommatus_coridon_(Poda_1761) 50.603493 -1.202972 fpwktinv
2910619251 Polyommatus_coridon_(Poda_1761) 50.551405 -2.445985 fpwktinv
2910629385 Polyommatus_coridon_(Poda_1761) 51.303449 -0.244119 fpwktinv
2910638302 Polyommatus_coridon_(Poda_1761) 51.241994 -0.346748 fpwktinv
2910649688 Polyommatus_coridon_(Poda_1761) 51.2252 -0.433278 fpwktinv
2910652755 Polyommatus_coridon_(Poda_1761) 51.618286 -1.026444 fpwktinv
2910657598 Polyommatus_coridon_(Poda_1761) 50.658704 -1.41425 fpwktinv
2910669622 Polyommatus_coridon_(Poda_1761) 51.78617 -0.718382 fpwktinv
2910674199 Polyommatus_coridon_(Poda_1761) 51.812323 -0.645108 fpwktinv
